epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.46572,1.51459,3.5273,1.78577,0.00593,1,0.02215,0.0079,1.53176,3.45013,1.8112,2e-05,2e-05,2e-05
2,18.3121,1.58426,3.59225,1.80116,0.00593,1,0.04296,0.01446,1.34966,3.37679,1.62792,5.9406e-05,5.9406e-05,5.9406e-05
3,27.5545,1.39738,3.23642,1.57756,0.00593,1,0.04809,0.0306,1.17329,3.26879,1.43479,9.802e-05,9.802e-05,9.802e-05
4,37.2979,1.26335,2.93632,1.43442,0.00593,1,0.30206,0.17899,1.07683,3.14581,1.30009,0.000135842,0.000135842,0.000135842
5,45.95,1.12065,2.61566,1.25251,0.00593,1,0.41126,0.2556,1.12598,3.03957,1.27792,0.000172872,0.000172872,0.000172872
6,54.1877,1.05964,1.99634,1.14353,0.00593,1,0.60304,0.28346,1.14354,2.91731,1.28556,0.00020911,0.00020911,0.00020911
7,62.3947,1.21743,1.6578,1.2144,0.00593,1,0.73065,0.33236,1.07946,2.76013,1.2171,0.000244556,0.000244556,0.000244556
8,70.7225,1.14173,1.45333,1.16255,0.00593,1,0.70783,0.39313,1.12244,2.69382,1.19502,0.00027921,0.00027921,0.00027921
9,78.886,1.07626,1.36264,1.12324,0.00593,1,0.79087,0.42327,1.16446,2.64987,1.17385,0.000313072,0.000313072,0.000313072
10,87.1599,1.1027,1.28839,1.07323,0.00593,1,0.80596,0.47212,1.09325,2.61188,1.13397,0.000346142,0.000346142,0.000346142
11,95.306,0.99274,1.26208,1.0608,0.00593,1,0.87497,0.49005,1.06236,2.60003,1.11101,0.00037842,0.00037842,0.00037842
12,103.976,1.04262,1.2414,1.07215,0.00593,1,0.83989,0.48816,1.08091,2.57366,1.10707,0.000409906,0.000409906,0.000409906
13,112.154,1.01606,1.24356,1.04833,0.00593,1,0.82201,0.44137,1.16768,2.64318,1.13895,0.0004406,0.0004406,0.0004406
14,120.233,1.02292,1.18708,1.05296,0.0205,0.97707,0.78541,0.37736,1.22497,2.73547,1.20185,0.000470502,0.000470502,0.000470502
15,128.516,1.09391,1.21139,1.07075,0.00593,1,0.45236,0.18141,1.2144,2.97768,1.32004,0.000499612,0.000499612,0.000499612
16,138.087,0.9779,1.16546,1.06221,0.01843,0.8125,0.51881,0.2399,1.19673,2.85531,1.27268,0.00052793,0.00052793,0.00052793
17,146.807,1.01452,1.08626,1.02591,0.90129,0.57136,0.81389,0.50237,1.08181,2.29612,1.08654,0.000555456,0.000555456,0.000555456
18,155.181,0.97731,1.09008,1.03843,0.90304,0.58338,0.79774,0.47906,1.10442,2.31971,1.08692,0.00058219,0.00058219,0.00058219
19,163.953,0.98388,1.02516,1.04438,0.87994,0.45972,0.79638,0.46894,1.10847,2.35089,1.08972,0.000608132,0.000608132,0.000608132
20,172.795,0.88903,1.01635,1.01399,0.91614,0.68314,0.84433,0.50429,1.13398,2.28687,1.08985,0.000633282,0.000633282,0.000633282
21,182.824,0.9439,0.97541,1.02743,0.91158,0.75,0.83099,0.51688,1.11566,2.23312,1.07983,0.00065764,0.00065764,0.00065764
22,192.089,0.9212,0.97569,1.00965,0.91597,0.75,0.85345,0.52219,1.17697,2.18616,1.08472,0.000681206,0.000681206,0.000681206
23,200.418,0.88091,1.08454,1.06325,0.85449,0.73491,0.87347,0.50711,1.26251,2.14017,1.10548,0.00070398,0.00070398,0.00070398
24,208.925,0.95973,1.01249,1.05337,0.86844,0.82577,0.8435,0.56042,1.21122,2.00972,1.09748,0.000725962,0.000725962,0.000725962
25,217.322,0.93167,0.91981,1.00201,0.87434,0.87001,0.84156,0.56595,1.17929,1.87155,1.09243,0.000747152,0.000747152,0.000747152
26,226.173,0.93132,0.97517,1.03246,0.8654,0.9375,0.86988,0.55826,1.23956,1.74226,1.11831,0.00076755,0.00076755,0.00076755
27,234.81,0.87206,0.89432,0.97917,0.88088,0.92498,0.86905,0.59201,1.181,1.69264,1.12796,0.000787156,0.000787156,0.000787156
28,243.181,0.95949,1.03242,1.04837,0.88088,0.92498,0.86905,0.59201,1.181,1.69264,1.12796,0.00080597,0.00080597,0.00080597
29,252.303,0.92427,0.91201,1.00369,0.87599,0.8834,0.86762,0.58487,1.12329,1.67624,1.11042,0.000823992,0.000823992,0.000823992
30,261.175,0.87242,0.87436,0.97449,0.87484,0.87383,0.8671,0.56246,1.21155,1.69188,1.12987,0.000841222,0.000841222,0.000841222
31,270.291,0.94723,0.99346,1.0314,0.87484,0.87383,0.8671,0.56246,1.21155,1.69188,1.12987,0.00085766,0.00085766,0.00085766
32,279.144,0.83949,0.80208,0.96347,0.88033,0.92029,0.8388,0.52832,1.21127,1.69508,1.10985,0.000873306,0.000873306,0.000873306
33,288.67,0.83398,0.8887,0.96814,0.87668,0.9375,0.84578,0.56025,1.17827,1.6216,1.10708,0.00088816,0.00088816,0.00088816
34,297.452,0.94471,0.9308,1.04963,0.87668,0.9375,0.84578,0.56025,1.17827,1.6216,1.10708,0.000902222,0.000902222,0.000902222
