epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14886,1.9044,3.39479,1.99812,0.00556,1,0.05286,0.01434,1.79899,3.70491,2.37488,0,0,0
2,7.93141,1.9507,3.40737,2.14172,0.00556,1,0.05488,0.01767,1.78118,3.6885,2.35504,1.9802e-05,1.9802e-05,1.9802e-05
3,11.4923,2.0745,3.12314,2.07785,0.00556,1,0.05856,0.01623,1.76273,3.60975,2.34171,3.9208e-05,3.9208e-05,3.9208e-05
4,14.9239,2.07363,3.0725,2.12487,0.00556,1,0.09671,0.02737,1.75223,3.46919,2.34184,5.8218e-05,5.8218e-05,5.8218e-05
5,18.3237,1.93461,3.10062,2.03506,0.00556,1,0.33793,0.08874,1.70295,3.48884,2.19096,7.6832e-05,7.6832e-05,7.6832e-05
6,21.7868,1.54638,3.30752,1.85017,0.00556,1,0.49587,0.16064,1.66082,3.24805,1.97007,9.505e-05,9.505e-05,9.505e-05
7,25.2514,1.82352,3.07891,1.80714,0.00556,1,0.5265,0.23357,1.382,3.326,1.74324,0.000112872,0.000112872,0.000112872
8,28.5362,1.74518,3.13445,1.97495,0.00556,1,0.4009,0.23764,1.35814,3.30177,1.7041,0.000130298,0.000130298,0.000130298
9,31.9719,1.66135,3.20229,1.81814,0.00556,1,0.43359,0.16659,1.34083,3.31912,1.60561,0.000147328,0.000147328,0.000147328
10,35.2252,1.53912,2.67017,1.65111,0.00556,1,0.72262,0.24272,1.35835,3.18439,1.50126,0.000163962,0.000163962,0.000163962
11,38.4419,1.45818,2.62095,1.52355,0.00556,1,0.82833,0.22011,1.34069,3.19058,1.46425,0.0001802,0.0001802,0.0001802
12,41.6236,1.61116,2.59406,1.67877,0.00556,1,0.93786,0.27702,1.13319,3.2953,1.44546,0.000196042,0.000196042,0.000196042
13,44.769,1.53446,2.36075,1.55328,0.00556,1,0.995,0.34776,1.13813,3.22963,1.4575,0.000211488,0.000211488,0.000211488
14,47.9838,1.49255,2.2882,1.50338,0.00556,1,0.88591,0.40452,1.169,3.16856,1.50168,0.000226538,0.000226538,0.000226538
15,51.2753,1.46714,2.42684,1.59353,0.00556,1,0.62357,0.28184,1.3205,3.02377,1.54907,0.000241192,0.000241192,0.000241192
16,54.4385,1.30264,1.88471,1.48779,0.00556,1,0.56722,0.17468,1.35821,3.02001,1.72172,0.00025545,0.00025545,0.00025545
17,57.7622,1.44267,2.31912,1.52064,0.00556,1,0.39994,0.14048,1.52022,3.16453,1.96325,0.000269312,0.000269312,0.000269312
18,60.9544,1.36513,1.83373,1.38626,0.00556,1,0.39994,0.14048,1.52022,3.16453,1.96325,0.000282778,0.000282778,0.000282778
19,64.2746,1.44785,1.87325,1.48183,0.00556,1,0.48918,0.19854,1.69081,3.28748,2.11433,0.000295848,0.000295848,0.000295848
20,67.4673,1.40678,1.66499,1.49112,0.00556,1,0.48918,0.19854,1.69081,3.28748,2.11433,0.000308522,0.000308522,0.000308522
21,70.6623,1.33237,1.84407,1.36889,0.00556,1,0.35444,0.26424,1.65431,3.12154,2.14808,0.0003208,0.0003208,0.0003208
