epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.83273,1.85412,3.36919,2.03671,0.00524,1,0.00753,0.00444,1.43438,3.45248,1.71609,2e-05,2e-05,2e-05
2,18.0084,1.74513,3.28383,1.89972,0.00524,1,0.01284,0.00695,1.31165,3.41429,1.57653,5.9406e-05,5.9406e-05,5.9406e-05
3,25.975,1.53121,3.06575,1.76682,0.00524,1,0.27318,0.16545,1.24002,3.11657,1.29451,9.802e-05,9.802e-05,9.802e-05
4,33.9655,1.45079,2.6945,1.51613,0.00524,1,0.53322,0.3699,1.25025,2.82818,1.15138,0.000135842,0.000135842,0.000135842
5,42.2054,1.35605,2.50418,1.39063,0.00524,1,0.66586,0.42499,1.29547,2.68973,1.12479,0.000172872,0.000172872,0.000172872
6,50.0131,1.60783,2.12236,1.55347,0.00524,1,0.69855,0.35103,1.31733,2.69834,1.1787,0.00020911,0.00020911,0.00020911
7,57.5462,1.27415,1.94826,1.32797,0.00524,1,0.69039,0.24232,1.26399,2.83719,1.22001,0.000244556,0.000244556,0.000244556
8,65.0578,1.34161,1.9392,1.39377,0.00524,1,0.61148,0.18638,1.27046,2.91299,1.2408,0.00027921,0.00027921,0.00027921
9,72.8972,1.33734,1.73383,1.36735,0.00524,1,0.67028,0.20938,1.33111,2.91611,1.26072,0.000313072,0.000313072,0.000313072
10,80.7613,1.32834,1.74742,1.33824,0.00524,1,0.78935,0.27873,1.26354,2.86509,1.22211,0.000346142,0.000346142,0.000346142
11,89.814,1.22884,1.58339,1.27212,0.00524,1,0.86869,0.36569,1.23524,2.79811,1.20268,0.00037842,0.00037842,0.00037842
12,98.2223,1.21014,1.59966,1.24133,0.00524,1,0.85215,0.39786,1.24057,2.7473,1.20363,0.000409906,0.000409906,0.000409906
13,106.257,1.17877,1.45122,1.2395,0.00524,1,0.85379,0.42763,1.15022,2.71822,1.15138,0.0004406,0.0004406,0.0004406
14,114.499,1.27255,1.67141,1.3193,0.0153,1,0.86679,0.44572,1.22587,2.69311,1.1672,0.000470502,0.000470502,0.000470502
